time_ms,pc_time,gyroX,gyroY,gyroZ,accX,accY,accZ
593626,18:16:25.279,1.470,-2.590,-0.140,-0.261,0.956,0.142
593639,18:16:25.280,1.540,-4.410,0.140,-0.259,0.958,0.142
593653,18:16:25.288,4.270,-5.250,0.210,-0.260,0.958,0.142
593667,18:16:25.290,0.000,-2.380,1.330,-0.260,0.959,0.142
593680,18:16:25.291,0.980,-3.010,0.490,-0.259,0.958,0.140
593694,18:16:25.306,0.910,-2.030,0.420,-0.257,0.959,0.141
593708,18:16:25.308,1.050,-2.170,-0.490,-0.260,0.959,0.141
593762,18:16:25.444,1.750,0.070,0.770,-0.262,0.957,0.140
593776,18:16:25.446,3.780,-3.710,-0.840,-0.258,0.957,0.142
593790,18:16:25.454,1.890,-2.030,-0.560,-0.259,0.959,0.144
593803,18:16:25.456,-0.280,-2.660,1.330,-0.258,0.957,0.142
593817,18:16:25.458,-0.840,-1.190,-0.910,-0.261,0.957,0.142
593831,18:16:25.466,0.070,-2.030,0.630,-0.259,0.958,0.139
593844,18:16:25.468,3.430,-4.200,-1.260,-0.260,0.959,0.140
593858,18:16:25.469,1.540,-4.620,0.210,-0.260,0.958,0.140
593872,18:16:25.483,4.060,-1.190,-0.070,-0.260,0.959,0.143
593885,18:16:25.484,2.100,-3.430,-0.280,-0.261,0.958,0.142
593940,18:16:25.623,3.850,-3.640,16.240,-0.259,0.956,0.142
593954,18:16:25.625,0.630,-2.940,0.560,-0.260,0.956,0.144
593967,18:16:25.633,16.660,-3.780,0.140,-0.260,0.957,0.142
593981,18:16:25.635,2.310,-2.590,-0.280,-0.260,0.957,0.140
593995,18:16:25.636,3.080,-3.920,-1.050,-0.260,0.958,0.142
594008,18:16:25.644,3.010,-3.360,-1.050,-0.257,0.958,0.140
594022,18:16:25.646,1.890,-1.960,-0.420,-0.260,0.960,0.142
594037,18:16:25.648,2.660,-4.270,-0.630,-0.259,0.958,0.143
594050,18:16:25.662,-1.680,-1.820,-0.280,-0.257,0.960,0.140
594064,18:16:25.664,2.800,-3.150,0.840,-0.262,0.958,0.142
594119,18:16:25.802,1.680,-2.870,-0.700,-0.262,0.958,0.140
594132,18:16:25.804,2.940,-3.430,-1.050,-0.259,0.958,0.142
594146,18:16:25.812,0.210,-1.260,0.770,-0.258,0.960,0.143
594160,18:16:25.813,4.690,-2.590,-0.700,-0.259,0.957,0.140
594174,18:16:25.815,4.270,-0.840,1.190,-0.260,0.958,0.142
594188,18:16:25.823,-1.610,-1.750,1.680,-0.259,0.958,0.140
594202,18:16:25.825,-1.330,-1.190,1.890,-0.262,0.958,0.142
594215,18:16:25.826,1.260,-3.850,0.210,-0.260,0.957,0.141
594229,18:16:25.841,3.570,-5.040,-0.700,-0.261,0.958,0.142
